usda_code,usda_description,primal_group,mapped_canonical_id,mapped_canonical_name_ko,mapped_kmta_part,mapped_meatbox_examples,status,notes_ko,review_question
184,"Loin, top butt, boneless (184  3)",Loin,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '184' (Loin, top butt, boneless (184  3))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
184B,"Loin, top butt, CC (184B  3)",Loin,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '184B' (Loin, top butt, CC (184B  3))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
185A,"Loin, bottom sirloin, flap (185A  4)",Loin,,,,,UNMAPPED,,"USDA 코드 '185A' (Loin, bottom sirloin, flap (185A  4))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
185B,"Loin, ball-tip, bnls, heavy (185B  1)",Loin,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '185B' (Loin, ball-tip, bnls, heavy (185B  1))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
185C,"Loin, sirloin, tri-tip (185C  1)",Loin,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '185C' (Loin, sirloin, tri-tip (185C  1))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
185D,"Loin, sirloin, tri-tip, pld (185D  4)",Loin,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '185D' (Loin, sirloin, tri-tip, pld (185D  4))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
189A,"Loin, tndrloin, trmd, heavy (189A  4)",Loin,tenderloin,안심,안심,,MAPPED,USDA Tenderloin(189A). 미트박스 미취급 — 피처 전용,"USDA 코드 '189A' (Loin, tndrloin, trmd, heavy (189A  4))는 한국 부위 '안심'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
191A,"Loin, butt tender, trimmed (191A  4)",Loin,,,,,UNMAPPED,,"USDA 코드 '191A' (Loin, butt tender, trimmed (191A  4))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
109E,"Rib, ribeye, lip-on, bn-in (109E  1)",Rib,ribeye,등심,등심,,MAPPED,"USDA Ribeye. 미트박스 미취급(꽃등심 품목 없음) — ML 타깃 불가, 피처(선행지표)로만 사용","USDA 코드 '109E' (Rib, ribeye, lip-on, bn-in (109E  1))는 한국 부위 '등심'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
112A,"Rib, ribeye, bnls, heavy (112A  3)",Rib,ribeye,등심,등심,,MAPPED,"USDA Ribeye. 미트박스 미취급(꽃등심 품목 없음) — ML 타깃 불가, 피처(선행지표)로만 사용","USDA 코드 '112A' (Rib, ribeye, bnls, heavy (112A  3))는 한국 부위 '등심'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
112A,"Rib, ribeye, bnls, light (112A  3)",Rib,ribeye,등심,등심,,MAPPED,"USDA Ribeye. 미트박스 미취급(꽃등심 품목 없음) — ML 타깃 불가, 피처(선행지표)로만 사용","USDA 코드 '112A' (Rib, ribeye, bnls, light (112A  3))는 한국 부위 '등심'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
,"Round, top inside, side off (  3)",Round,,,,,NO_CODE,,"USDA 코드 '' (Round, top inside, side off (  3))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
160,"Round, bone-in (160  1)",Round,,,,,UNMAPPED,,"USDA 코드 '160' (Round, bone-in (160  1))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
161,"Round, boneless (161  1)",Round,,,,,UNMAPPED,,"USDA 코드 '161' (Round, boneless (161  1))는 한국 부위 '(미매핑)'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
167A,"Round, knuckle, peeled (167A  4)",Round,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '167A' (Round, knuckle, peeled (167A  4))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
168,"Round, top inside round (168  1)",Round,round,우둔,우둔,,MAPPED,USDA Top inside round(168/169/169A)·Eye of round(171C=홍두깨). 미트박스 미취급 — 피처 전용,"USDA 코드 '168' (Round, top inside round (168  1))는 한국 부위 '우둔'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
168,"Round, top inside round (168  3)",Round,round,우둔,우둔,,MAPPED,USDA Top inside round(168/169/169A)·Eye of round(171C=홍두깨). 미트박스 미취급 — 피처 전용,"USDA 코드 '168' (Round, top inside round (168  3))는 한국 부위 '우둔'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
169,"Round, top inside, denuded (169  5)",Round,round,우둔,우둔,,MAPPED,USDA Top inside round(168/169/169A)·Eye of round(171C=홍두깨). 미트박스 미취급 — 피처 전용,"USDA 코드 '169' (Round, top inside, denuded (169  5))는 한국 부위 '우둔'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
169A,"Round, top inside, cap off (169A  5)",Round,round,우둔,우둔,,MAPPED,USDA Top inside round(168/169/169A)·Eye of round(171C=홍두깨). 미트박스 미취급 — 피처 전용,"USDA 코드 '169A' (Round, top inside, cap off (169A  5))는 한국 부위 '우둔'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
170,"Round, bottom gooseneck (170  1)",Round,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '170' (Round, bottom gooseneck (170  1))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
171B,"Round, outside round (171B  3)",Round,seoldo,설도,설도,설도 | 설깃,MAPPED,USDA Knuckle(167A=도가니)·Gooseneck(170)·Outside(171B=설깃)·Top butt(184=보섭)·Ball tip/Tri-tip(185B-D=삼각). 184/185계는 USDA Loin이나 한국 분류는 설도,"USDA 코드 '171B' (Round, outside round (171B  3))는 한국 부위 '설도'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
171C,"Round, eye of round (171C  3)",Round,round,우둔,우둔,,MAPPED,USDA Top inside round(168/169/169A)·Eye of round(171C=홍두깨). 미트박스 미취급 — 피처 전용,"USDA 코드 '171C' (Round, eye of round (171C  3))는 한국 부위 '우둔'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
123A,"Short Plate, short rib (123A  3)",Short Plate,la_galbi,LA갈비,갈비,LA갈비 | 갈비살/늑간살 | 황제늑간,MAPPED,USDA Short Plate short rib(123A). 늑간살(rib finger)은 갈비뼈 사이 살 — LA갈비와 동일 원료 축,"USDA 코드 '123A' (Short Plate, short rib (123A  3))는 한국 부위 'LA갈비'에 해당하는가? 다른 부위로 보는 것이 더 적절하다면 어디인지 제안 요청."
